date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:59:58	35686/35686	---M--	200	added ('OK')	application/javascript	date:Mon,%2009%20Jan%202023%2017:39:50%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.10.0	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/js/frontend-modules.min12f9.js	(from https://fornet.net.br/)
18:59:59	6475/6475	---M--	200	added ('OK')	application/javascript	date:Mon,%2011%20Apr%202022%2012:04:30%20GMT	https://fornet.net.br/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-includes/js/dist/vendor/regenerator-runtime.min3937.js	(from https://fornet.net.br/)
18:59:59	17823/17823	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Sep%202022%2015:43:29%20GMT	https://fornet.net.br/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://fornet.net.br/)
18:59:59	4910/4910	---M--	200	added ('OK')	application/javascript	date:Mon,%2011%20Apr%202022%2012:04:30%20GMT	https://fornet.net.br/wp-includes/js/dist/hooks.min.js?ver=4169d3cf8e8d95a3d6d5	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-includes/js/dist/hooks.min6c65.js	(from https://fornet.net.br/)
18:59:59	10230/10230	---M--	200	added ('OK')	application/javascript	date:Fri,%2023%20Sep%202022%2019:55:30%20GMT	https://fornet.net.br/wp-includes/js/dist/i18n.min.js?ver=9e794f35a71bb98672ae	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-includes/js/dist/i18n.mine57b.js	(from https://fornet.net.br/)
18:59:59	21563/21563	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2002:38:32%20GMT	https://fornet.net.br/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.9.1	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor-pro/assets/js/frontend.mina560.js	(from https://fornet.net.br/)
19:00:00	12198/12198	---M--	200	added ('OK')	application/javascript	date:Wed,%2011%20Jan%202017%2018:35:32%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://fornet.net.br/)
19:00:00	21440/21440	---M--	200	added ('OK')	application/javascript	date:Fri,%2023%20Sep%202022%2019:55:30%20GMT	https://fornet.net.br/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-includes/js/jquery/ui/core.min3f14.js	(from https://fornet.net.br/)
19:00:00	40842/40842	---M--	200	added ('OK')	application/javascript	date:Mon,%2009%20Jan%202023%2017:39:50%20GMT	https://fornet.net.br/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.10.0	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor/assets/js/frontend.min12f9.js	(from https://fornet.net.br/)
19:00:00	27177/27177	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2002:38:32%20GMT	https://fornet.net.br/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=3.9.1	C:/Users/joeyt/OneDrive/Documentos/testefornet/fornet.net.br/wp-content/plugins/elementor-pro/assets/js/elements-handlers.mina560.js	(from https://fornet.net.br/)
